property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
3 BHK Flat in Kharadi,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-panchshil-towers-kharadi-pune-2200-sq-ft-spid-I70422126,Panchshil Towers4.2 ★,2.85 Crore,"₹ 16,764/sq.ft.",Super Built up area 2200(204.39 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,Servant Room,"L (1903), Kharadi, Pune, Maharashtra",19th   of 32 Floors,North-West,5 to 10 Year Old,"['Connectivity to EON Free Zone Road', 'Walking distance to DPCOE', 'Oxford World School in neighborhood', 'Close to Columbia Asia Hospital', 'Proximity to Pune International Airport', 'Pune Railway Station within reach']","Situated in kharadi, pune, panchshil towers is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in pune is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 2200 sq.Ft. The residential building has 32 floors in total and the flat for sale is located on the 19th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Management4 out of 5', 'Connectivity4.2 out of 5', 'Amenities4.3 out of 5', 'Construction4.1 out of 5', 'Green Area4.2 out of 5']",I70422126
2 BHK Flat in Talegaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-naiknavare-kutumb-tale-gaon-pune-1300-sq-ft-spid-A70161632,Naiknavare Kutumb,55 Lac,"₹ 5,549/sq.ft.",Super Built up area 1300(120.77 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 991 sq.ft. (92.07 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","F509, Talegaon, Pune, Maharashtra",6th   of 9 Floors,East,1 to 5 Year Old,"['Mall', 'Talegaon', 'Pimpri', 'Chakan', 'Hinjewadi', 'Hospital', 'Jain  Temple', 'Talawade IT Park', 'Somatane Toll Plaza', 'College']","Looking for a 2 bhk property for sale in pune? Buy this 2 bhk flat in naiknavare kutumb that is situated in talegaon, pune. This property faces the east direction. The flat is over 1300 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 6th level of a 9 storey building. This is a ready to move project and the property is 1-5 years old. Naiknavare kutumb is designed very well to provide modern facilities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s).",,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Lifestyle4 out of 5', 'Connectivity4.3 out of 5', 'Safety3.9 out of 5', 'Environment4.2 out of 5']",A70161632
2 BHK Flat in Talegaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-naiknavare-kutumb-tale-gaon-pune-1209-sq-ft-spid-H70161746,Naiknavare Kutumb,45 Lac,"₹ 5,521/sq.ft.",Super Built up area 1209(112.32 sq.m.)Built Up area: 1159 sq.ft. (107.67 sq.m.)Carpet area: 815 sq.ft. (75.72 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","F509, Talegaon, Pune, Maharashtra",4th   of 9 Floors,East,1 to 5 Year Old,"['Mall', 'Talegaon', 'Pimpri', 'Chakan', 'Hinjewadi', 'Hospital', 'Jain  Temple', 'Talawade IT Park', 'Somatane Toll Plaza', 'College']","Naiknavare kutumb is one of pune's most sought after destination for apartments and this 2 bhk flat in talegaon is your opportunity to be a part of this community. This property faces the east direction. The flat is over 1209 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 9 floors in total and the flat for sale is located on the 4th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The society is well equipped with many modern amenities, including swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s). The society provides continuous water supply from municipal corporation and borewell/tank.",,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Lifestyle4 out of 5', 'Connectivity4.3 out of 5', 'Safety3.9 out of 5', 'Environment4.2 out of 5']",H70161746
4 BHK Flat in Kharadi,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-panchshil-towers-kharadi-pune-3400-sq-ft-spid-S70207680,Panchshil Towers4.2 ★,3.5 Crore,"₹ 10,294/sq.ft.",Super Built up area 3400(315.87 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","1202, Kharadi, Pune, Maharashtra",12nd   of 32 Floors,North-West,1 to 5 Year Old,"['Connectivity to EON Free Zone Road', 'Walking distance to DPCOE', 'Oxford World School in neighborhood', 'Close to Columbia Asia Hospital', 'Proximity to Pune International Airport', 'Pune Railway Station within reach']","This 4 bhk apartment is available for sale in panchshil towers, one of the most prominent projects for flats in kharadi, pune. The flat is east-Facing. Constructed on a super built up area of 3400 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 12th level of a 32 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using ceramic flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to school, close to hospital and close to market. Panchshil towers is designed very well to provide modern facilities such as swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking and shopping centre. The project provides access to clean water through borewell/tank supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '20 Light', '1 Chimney', '4 AC', '1 Modular Kitchen', '1 Curtains', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Management4 out of 5', 'Connectivity4.2 out of 5', 'Amenities4.3 out of 5', 'Construction4.1 out of 5', 'Green Area4.2 out of 5']",S70207680
2 BHK Flat in Talegaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-neelaya-naiknavare-tale-gaon-pune-901-sq-ft-spid-O70161498,Neelaya Naiknavare,36 Lac,"₹ 3,995/sq.ft.",Super Built up area 901(83.71 sq.m.)Built Up area: 866 sq.ft. (80.45 sq.m.)Carpet area: 654 sq.ft. (60.76 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","F509, Talegaon, Pune, Maharashtra",4th   of 12 Floors,West,1 to 5 Year Old,"['More Retail', 'Old Mumbai Pune', 'ExpressWay', 'Podar International School', 'Empros International School', 'Syndicate Bank ATM', 'Sevadham Hospital', 'Morya Specialty Hospital', 'Talegaon Dabhade', 'MCA Pune Inter. Cricket', 'D.Y. Patil College of Engineering', 'CRPF Camp']","This 2 bhk flat is located in neelaya naiknavare, which houses some of the most spacious flats in talegaon, pune. The flat is facing the east direction. The flat is over 901 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 12 floors in total and the flat for sale is located on the 4th floor. This is a ready to move project and the property is 1-5 years old. Neelaya naiknavare is designed very well to provide modern facilities such as grocery shop, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s).
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Lifestyle4 out of 5', 'Connectivity4.3 out of 5', 'Safety3.9 out of 5', 'Environment4.2 out of 5']",O70161498
2 BHK Flat in Kharadi,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-forest-county-kharadi-pune-961-sq-ft-spid-Y70213194,Forest County4.2 ★,1.45 Crore,"₹ 18,125/sq.ft.",Super Built up area 961(89.28 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Others,"N (51), Kharadi, Pune, Maharashtra",5th   of 12 Floors,East,1 to 5 Year Old,"['Magarpatta', 'Pune Airport', 'Pune Railway Station', 'Koregaon Park', 'Phoenix Market City']","This beautiful 2 bhk flat in kharadi, pune is situated in forest county, one of the popular residential society in pune. Constructed on a super built up area of 961 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 12 floors and this property is situated on 5th floor. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Management4 out of 5', 'Connectivity4 out of 5', 'Amenities4.2 out of 5', 'Construction4.5 out of 5', 'Green Area4.3 out of 5']",Y70213194
2 BHK Flat in Talegaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-naiknavare-kutumb-tale-gaon-pune-1320-sq-ft-spid-D70069936,Naiknavare Kutumb,48.51 Lac,"₹ 5,117/sq.ft.",Super Built up area 1320(122.63 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 948 sq.ft. (88.07 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","1202, Talegaon, Pune, Maharashtra",6th   of 9 Floors,East,1 to 5 Year Old,"['Mall', 'Talegaon', 'Pimpri', 'Chakan', 'Hinjewadi', 'Hospital', 'Jain  Temple', 'Talawade IT Park', 'Somatane Toll Plaza', 'College']","This 2 bhk apartment is available for sale in naiknavare kutumb, one of the most prominent projects for flats in talegaon, pune. The flat is facing the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1320 sq.Ft. This flat lies on the 6th level of a 9 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with vitrified flooring options. Naiknavare kutumb is designed very well to provide modern facilities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, shopping centre, water softening plant and security personnel. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle4 out of 5', 'Connectivity4.3 out of 5', 'Safety3.9 out of 5', 'Environment4.2 out of 5']",D70069936
2 BHK Flat in Bhukum,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-skyi-star-towers-bhukum-pune-771-sq-ft-spid-O70472832,SKYi Star Towers3.8 ★,48 Lac,"₹ 6,225/sq.ft.",Super Built up area 771(71.63 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,"Bhukum, Pune, Maharashtra",5th   of 8 Floors,North,1 to 5 Year Old,"['Kothrud Metro Station', 'Paud Road', 'Indus International School', 'Manas Lake']","This 2 bhk apartment is available for sale in skyi star towers, one of the most prominent projects for flats in bhukum, pune. Constructed on a super built up area of 771 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 5th floor of this 8 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Management3.9 out of 5', 'Connectivity3.7 out of 5', 'Amenities3.8 out of 5', 'Construction3.7 out of 5', 'Green Area4.2 out of 5']",O70472832
3 BHK Flat in Sus,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-teerth-avila-sus-pune-797-sq-ft-spid-T70529512,Teerth Avila,77 Lac,"₹ 9,661/sq.ft.",Carpet area: 797 (74.04 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Study Room","Sus , Pune, Maharashtra",12nd   of 19 Floors,East,1 to 5 Year Old,"['Elpro City Square Mall', 'Sus Ln', 'Vidya Valley School', 'Flame University', 'Sus Hospital Pune', 'Pune International Airport', 'Hinjewadi Rajiv Gandhi Infotech Park', 'The Orchid Hotel Pune', 'Butterfly Trampoline Park', 'Pinewoods Golf Club', 'Arai Hills Hiking Area']","Teerth avila is one of the most popular destination for buying apartments/ flats in sus , pune. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is over 797 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 12th level of a 19 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.6 out of 5', 'Connectivity3.5 out of 5', 'Safety3.6 out of 5', 'Environment3.7 out of 5']",T70529512
3 BHK Flat in Sus,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-teerth-avila-sus-pune-792-sq-ft-spid-T70529414,Teerth Avila,73 Lac,"₹ 9,217/sq.ft.",Carpet area: 792 (73.58 sq.m.),3 Bedrooms,2 Bathrooms,2 Balconies,"Pooja Room,Study Room","Sus , Pune, Maharashtra",8th   of 19 Floors,West,1 to 5 Year Old,"['Elpro City Square Mall', 'Sus Ln', 'Vidya Valley School', 'Flame University', 'Sus Hospital Pune', 'Pune International Airport', 'Hinjewadi Rajiv Gandhi Infotech Park', 'The Orchid Hotel Pune', 'Butterfly Trampoline Park', 'Pinewoods Golf Club', 'Arai Hills Hiking Area']","Looking for a 3 bhk property for sale in pune? Buy this 3 bhk flat in teerth avila that is situated in sus , pune. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 792 sq.Ft. This flat lies on the 8th level of a 19 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.6 out of 5', 'Connectivity3.5 out of 5', 'Safety3.6 out of 5', 'Environment3.7 out of 5']",T70529414
2 BHK Flat in Sus,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-teerth-avila-sus-pune-738-sq-ft-spid-S70527600,Teerth Avila,68.59 Lac,"₹ 9,294/sq.ft.",Carpet area: 738 (68.56 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,"Pooja Room,Study Room","Sus , Pune, Maharashtra",10th   of 19 Floors,East,1 to 5 Year Old,"['Elpro City Square Mall', 'Sus Ln', 'Vidya Valley School', 'Flame University', 'Sus Hospital Pune', 'Pune International Airport', 'Hinjewadi Rajiv Gandhi Infotech Park', 'The Orchid Hotel Pune', 'Butterfly Trampoline Park', 'Pinewoods Golf Club', 'Arai Hills Hiking Area']","This lovely 2 bhk apartment/flat in sus is available for sale in one of pune's most popular projects, teerth avila. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 738 sq.Ft. This flat is situated on the 10th floor of this 19 floors tall residential building. This is a ready to move project and the property is 1-5 years old.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.6 out of 5', 'Connectivity3.5 out of 5', 'Safety3.6 out of 5', 'Environment3.7 out of 5']",S70527600
2 BHK Flat in Magarpatta,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-magarpatta-city-jasminium-magarpatta-pune-1200-sq-ft-spid-K70317928,Magarpatta City Jasminium4.4 ★,1.1 Crore,"₹ 9,166/sq.ft.",Super Built up area 1200(111.48 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Store Room,"Magarpatta, Pune, Maharashtra",8th   of 11 Floors,East,10+ Year Old,"['Shri Chandramouleshwar Mahdev Mandir', 'Kalbhairavnath temple', 'Yes bank ATM', 'Advanced Dental Care Center', 'Omkar Clinic & Sonography Center', ""Dr. Mootha's Advanced Dental Care Center"", 'NON', 'my Dental Clinic', 'Noble Hospital', 'Welfare Medical Foundatios Mohintara Hospital', 'Oasis Orthopaedic & Sonography Clinic', 'Pooja Hospital', 'Dr.Sampat Dumbre Patil orthopaedic surgeon', 'Zenith Hospital Pune', 'Sahyadri Hospital', ""Dr. Sahu's Dental & Orthodontic Care"", 'Shraddha Hospital', 'Madhavbaug Cardiac Care Clinic', 'Mohintara Hospital', 'Priime Nephrocare Nutrition and Wellness Clinic', 'Alatkar Hospital', 'Yash Hospital - V.K. Medical Foundation', 'Ushakiran General Hospital', 'Morya clinic Dr. Abhijit Baheti Hemato-Oncologist', 'Dharmadhikari Hospital', 'Sane Guruji Arogya Kendra', 'Dhanvantari Hospital', 'Ranveer Medical', 'Cyber City', 'Magar Petrol Pump', 'Hdfc bank', 'Punjab national bank', 'Janaseva sahakari bank', 'Marrakesh', 'Chennai Express', 'Global Punjab', 'Yummy Tummy', 'Cafe Coffee Day', ""Domino's"", 'Shamli', 'The Cult', 'Bashri', ""McDonald's"", 'Subway', 'Oh Live Pune', 'Irani Cafe', 'Hadapsar railway station']","This lovely pantagon facing 2 bhk apartment/flat in magarpatta is available for sale in one of pune's most popular projects, magarpatta city jasminium. The flat occupies a super built up area of 1200 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 8th floor of this 11 floors tall residential building. This is a ready to move project and the property is 10 years old. Magarpatta city jasminium is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park and lift(s).
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Management4.2 out of 5', 'Connectivity4.4 out of 5', 'Amenities4.5 out of 5', 'Construction4.2 out of 5', 'Green Area4.5 out of 5']",K70317928
2 BHK Flat in Hadapsar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mi-casa-primaliva-hadapsar-pune-1200-sq-ft-r2-spid-K67129886,Mi Casa Primaliva,80 Lac,"₹ 6,666/sq.ft.",Super Built up area 1200(111.48 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Pooja Room,"Hadapsar, Pune, Maharashtra",8th   of 11 Floors,South,5 to 10 Year Old,"['Amanora Mall', 'Seasons Mall', 'Amanora School', 'Vishwakarma University', 'Villoo Poonawalla Hospital']","Check out this 2 bhk apartment for sale in mi casa primaliva, a popular residential project that houses in-Demand flats in hadapsar, pune. This is a east-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1200 sq.Ft. This flat lies on the 8th level of a 11 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The flat comes well built with vitrified flooring options. The society is well equipped with many modern amenities, including cctv surveillance, club house / community center, fitness centre / gym, maintenance staff, visitor parking, park, lift(s), shopping centre, swimming pool and water softening plant. You enjoy a 24*7 access to water in your flat.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle4.2 out of 5', 'Connectivity4.2 out of 5', 'Safety4.2 out of 5', 'Environment4.2 out of 5']",K67129886
2 BHK Flat in Tilekar Vasti,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-s-and-m-the-palazzo-tilekar-vasti-pune-1257-sq-ft-spid-H69991782,S and M The Palazzo,75 Lac,"₹ 5,966/sq.ft.",Super Built up area 1257(116.78 sq.m.)Built Up area: 1057 sq.ft. (98.2 sq.m.)Carpet area: 857 sq.ft. (79.62 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Tilekar Vasti, Pune, Maharashtra",8th   of 12 Floors,South-West,1 to 5 Year Old,"['Shri Chandramouleshwar Mahdev Mandir', 'Kalbhairavnath temple', 'Omkar Clinic & Sonography Center', 'Advanced Dental Care Center', ""Dr. Mootha's Advanced Dental Care Center"", 'my Dental Clinic', 'NON', 'Noble Hospital', 'Welfare Medical Foundatios Mohintara Hospital', 'Pooja Hospital', 'Zenith Hospital Pune', 'Oasis Orthopaedic & Sonography Clinic', 'Dr.Sampat Dumbre Patil orthopaedic surgeon', 'Sahyadri Hospital', 'Mohintara Hospital', 'Shraddha Hospital', ""Dr. Sahu's Dental & Orthodontic Care"", 'Alatkar Hospital', 'Madhavbaug Cardiac Care Clinic', 'Ushakiran General Hospital', 'Dharmadhikari Hospital', 'Dhanvantari Hospital', 'Yash Hospital - V.K. Medical Foundation', 'Shivam Hospital', 'Mohite Eye Hospital', 'Remedy Hospital', 'Sane Guruji Arogya Kendra', 'Priime Nephrocare Nutrition and Wellness Clinic', 'Mams Sumatibhai Shah Ayurved Mahavidyalayas', 'Ranveer Medical', 'Cyber City', 'Magar Petrol Pump', 'Punjab national bank', 'Hdfc bank', 'Janaseva sahakari bank', ""Domino's"", 'Chennai Express', 'Marrakesh', 'Global Punjab', 'Shamli', 'Bashri', 'Yummy Tummy', 'Cafe Coffee Day', 'The Cult', ""McDonald's"", 'Subway', 'Oh Live Pune']","Situated in tilekar vasti, pune, s and m the palazzo is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in pune is your opportunity to be a part of this community. This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1257 sq.Ft. The flat has a total of 12 floors and this property is situated on 8th floor. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. The society is well equipped with many modern amenities, including cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff and water softening plant. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,H69991782
